Site Name ,Site ID,Date,Time (CDT),Discharge (CFS),Suspended Sediment (1.5 um filter) Concentration (mg/L)
North Fish Creek at Old Hwy 2,NFO2,4/21/14,15:00,583,456.1
North Fish Creek at Old Hwy 2,NFO2,4/23/14,13:45,212,99.6
North Fish Creek at Old Hwy 2,NFO2,5/30/14,15:50,55.4,2.7
North Fish Creek at Old Hwy 2,NFO2,6/4/14,13:00,58.4,3.9
North Fish Creek at Old Hwy 2,NFO2,6/13/14,12:25,61.5,4.3
North Fish Creek at Old Hwy 2,NFO2,6/30/14,13:49,55.4,1.5
North Fish Creek at Old Hwy 2,NFO2,7/14/14,16:08,58.4,4
North Fish Creek at Old Hwy 2,NFO2,7/28/14,12:30,52.4,2
North Fish Creek at Old Hwy 2,NFO2,8/11/14,14:23,52.4,2
North Fish Creek at Old Hwy 2,NFO2,8/25/14,13:30,210,127.3
North Fish Creek at Old Hwy 2,NFO2,12/9/14,15:00,56.9,ND
North Fish Creek at Old Hwy 2,NFO2,3/6/15,12:30,52,22.7
North Fish Creek at Old Hwy 2,NFO2,3/17/15,14:15,94,32.2
North Fish Creek at Old Hwy 2,NFO2,3/30/15,13:30,60,3.3
North Fish Creek at Old Hwy 2,NFO2,4/20/15,13:45,130,65.4
North Fish Creek at Old Hwy 2,NFO2,5/4/15,10:45,54,1.9
North Fish Creek at Old Hwy 2,NFO2,5/18/15,11:15,71,3.9
North Fish Creek at Old Hwy 2,NFO2,5/19/15,11:45,66,3.3
North Fish Creek at Old Hwy 2,NFO2,6/2/15,11:15,55,3.5
North Fish Creek at Old Hwy 2,NFO2,6/9/15,10:45,54,4.7
North Fish Creek at Old Hwy 2,NFO2,6/16/15,10:00,49,3.6
North Fish Creek at Old Hwy 2,NFO2,6/23/15,10:15,49,4
North Fish Creek at Old Hwy 2,NFO2,6/30/15,10:30,55,4.8
North Fish Creek at Old Hwy 2,NFO2,7/7/15,10:15,68,10.6
North Fish Creek at Old Hwy 2,NFO2,7/14/15,10:00,NA,4.8
North Fish Creek at Old Hwy 2,NFO2,7/20/15,11:00,52,3.4
North Fish Creek at Old Hwy 2,NFO2,7/28/15,11:15,54,4.4
North Fish Creek at Old Hwy 2,NFO2,8/4/15,10:15,54,2.5
North Fish Creek at Old Hwy 2,NFO2,8/7/15,12:30,65,5.2
North Fish Creek at Old Hwy 2,NFO2,8/11/15,10:30,54,2.2
North Fish Creek at Old Hwy 2,NFO2,8/18/15,11:00,55,2.6
North Fish Creek at Old Hwy 2,NFO2,8/18/15,16:15,55,5.4
North Fish Creek at Old Hwy 2,NFO2,8/18/15,18:15,57,5.3
North Fish Creek at Old Hwy 2,NFO2,8/18/15,19:15,58,4.5
North Fish Creek at Old Hwy 2,NFO2,8/18/15,20:15,58,3.8
North Fish Creek at Old Hwy 2,NFO2,8/18/15,21:15,60,12.4
North Fish Creek at Old Hwy 2,NFO2,8/18/15,22:15,71,40.3
North Fish Creek at Old Hwy 2,NFO2,8/18/15,23:15,81,142.1
North Fish Creek at Old Hwy 2,NFO2,8/19/15,0:15,79,78.5
North Fish Creek at Old Hwy 2,NFO2,8/19/15,1:15,99,627.8
North Fish Creek at Old Hwy 2,NFO2,8/19/15,2:15,117,708.4
North Fish Creek at Old Hwy 2,NFO2,8/19/15,3:15,145,664.2
North Fish Creek at Old Hwy 2,NFO2,8/19/15,4:15,187,579.4
North Fish Creek at Old Hwy 2,NFO2,8/19/15,5:15,189,526.8
North Fish Creek at Old Hwy 2,NFO2,8/19/15,6:15,167,749.2
North Fish Creek at Old Hwy 2,NFO2,8/19/15,7:15,177,607.9
North Fish Creek at Old Hwy 2,NFO2,8/19/15,8:15,208,511.5
North Fish Creek at Old Hwy 2,NFO2,8/19/15,9:15,258,808.8
North Fish Creek at Old Hwy 2,NFO2,8/19/15,10:15,253,722.6
North Fish Creek at Old Hwy 2,NFO2,8/19/15,11:15,227,488.5
North Fish Creek at Old Hwy 2,NFO2,8/19/15,12:15,229,479.4
North Fish Creek at Old Hwy 2,NFO2,8/19/15,13:15,266,320.9
North Fish Creek at Old Hwy 2,NFO2,8/19/15,14:15,374,493.7
North Fish Creek at Old Hwy 2,NFO2,8/19/15,15:15,389,630.6
North Fish Creek at Old Hwy 2,NFO2,8/19/15,16:45,333,449
North Fish Creek at Old Hwy 2,NFO2,8/19/15,18:45,305,318.8
North Fish Creek at Old Hwy 2,NFO2,8/19/15,19:00,303,215
North Fish Creek at Old Hwy 2,NFO2,8/19/15,20:00,294,216.2
North Fish Creek at Old Hwy 2,NFO2,8/19/15,21:00,278,191.1
North Fish Creek at Old Hwy 2,NFO2,8/19/15,22:00,262,180.6
North Fish Creek at Old Hwy 2,NFO2,8/19/15,23:00,251,169.6
North Fish Creek at Old Hwy 2,NFO2,8/20/15,0:00,229,140.4
North Fish Creek at Old Hwy 2,NFO2,8/20/15,1:00,214,136.9
North Fish Creek at Old Hwy 2,NFO2,8/20/15,2:00,202,119.6
North Fish Creek at Old Hwy 2,NFO2,8/20/15,3:00,187,82.7
North Fish Creek at Old Hwy 2,NFO2,8/20/15,4:00,181,68.8
North Fish Creek at Old Hwy 2,NFO2,8/20/15,5:00,171,63.6
North Fish Creek at Old Hwy 2,NFO2,8/20/15,6:00,165,48.4
North Fish Creek at Old Hwy 2,NFO2,8/20/15,7:00,161,67.3
North Fish Creek at Old Hwy 2,NFO2,8/20/15,8:00,157,61.5
North Fish Creek at Old Hwy 2,NFO2,8/20/15,9:00,153,57.1
North Fish Creek at Old Hwy 2,NFO2,8/20/15,10:00,149,51.9
North Fish Creek at Old Hwy 2,NFO2,8/20/15,11:00,145,38.5
North Fish Creek at Old Hwy 2,NFO2,8/20/15,14:45,130,39.4
North Fish Creek at Old Hwy 2,NFO2,8/19/15,15:30,371,398.6
North Fish Creek at Old Hwy 2,NFO2,8/20/15,11:30,142,43
North Fish Creek at Old Hwy 2,NFO2,8/25/15,10:45,54,3
North Fish Creek at Old Hwy 2,NFO2,9/8/15,13:15,52,3.7
North Fish Creek at Old Hwy 2,NFO2,9/22/15,11:00,52,2.1
North Fish Creek at Old Hwy 2,NFO2,10/6/15,10:30,50.5,2.4
North Fish Creek at Old Hwy 2,NFO2,10/20/15,14:00,52.1,1.2
North Fish Creek at Old Hwy 2,NFO2,11/3/15,11:30,55.1,2.8
North Fish Creek at Old Hwy 2,NFO2,11/12/15,16:45,261.6,96.1
North Fish Creek at Old Hwy 2,NFO2,11/12/15,19:00,245.4,70
North Fish Creek at Old Hwy 2,NFO2,11/12/15,20:00,247.7,65.1
North Fish Creek at Old Hwy 2,NFO2,11/12/15,21:00,254.6,65.1
North Fish Creek at Old Hwy 2,NFO2,11/12/15,22:00,261.6,61
North Fish Creek at Old Hwy 2,NFO2,11/12/15,23:00,264.1,47.4
North Fish Creek at Old Hwy 2,NFO2,11/12/15,0:00,259.2,45.7
North Fish Creek at Old Hwy 2,NFO2,11/16/15,13:45,96.6,16.4
North Fish Creek at Old Hwy 2,NFO2,11/17/15,1:45,169.6,26.6
North Fish Creek at Old Hwy 2,NFO2,11/17/15,5:45,151.4,26.9
North Fish Creek at Old Hwy 2,NFO2,11/17/15,9:45,135.6,22
North Fish Creek at Old Hwy 2,NFO2,11/17/15,13:45,139.5,19.2
North Fish Creek at Old Hwy 2,NFO2,11/17/15,17:45,141.5,16.8
North Fish Creek at Old Hwy 2,NFO2,11/17/15,21:45,143.5,16.1
North Fish Creek at Old Hwy 2,NFO2,11/18/15,1:45,141.5,17.1
North Fish Creek at Old Hwy 2,NFO2,11/18/15,7:45,131.8,20.3
North Fish Creek at Old Hwy 2,NFO2,11/18/15,11:45,153.4,45.5
North Fish Creek at Old Hwy 2,NFO2,11/18/15,15:45,188.4,30.6
North Fish Creek at Old Hwy 2,NFO2,11/18/15,19:45,163.5,51.3
North Fish Creek at Old Hwy 2,NFO2,12/8/15,11:15,63,4.2
North Fish Creek at Old Hwy 2,NFO2,3/8/16,17:00,220.5,656.1
North Fish Creek at Old Hwy 2,NFO2,3/9/16,16:00,373.3,100.6
North Fish Creek at Old Hwy 2,NFO2,3/10/16,2:00,252.7,54.3
North Fish Creek at Old Hwy 2,NFO2,3/10/16,14:00,184.6,38.6
North Fish Creek at Old Hwy 2,NFO2,3/11/16,17:15,252.7,43.2
North Fish Creek at Old Hwy 2,NFO2,3/9/16,16:15,370.8,136.7
North Fish Creek at Old Hwy 2,NFO2,3/11/16,13:45,161.9,28.4
North Fish Creek at Old Hwy 2,NFO2,3/11/16,17:15,252.7,78.4
North Fish Creek at Old Hwy 2,NFO2,3/11/16,21:15,299.5,45.6
North Fish Creek at Old Hwy 2,NFO2,3/11/16,16:30,232.4,42.3
North Fish Creek at Old Hwy 2,NFO2,3/11/16,18:30,297.1,59.4
North Fish Creek at Old Hwy 2,NFO2,3/11/16,20:30,306.7,60.9
North Fish Creek at Old Hwy 2,NFO2,3/11/16,22:30,285.2,49.4
North Fish Creek at Old Hwy 2,NFO2,3/11/16,0:30,261.9,44.7
North Fish Creek at Old Hwy 2,NFO2,3/12/16,6:30,219.1,25.1
North Fish Creek at Old Hwy 2,NFO2,3/12/16,12:30,188.8,17.2
North Fish Creek at Old Hwy 2,NFO2,3/12/16,17:00,285.2,74.9
North Fish Creek at Old Hwy 2,NFO2,3/12/16,19:00,311.5,76.1
North Fish Creek at Old Hwy 2,NFO2,3/12/16,19:00,311.5,133.3
North Fish Creek at Old Hwy 2,NFO2,3/15/16,17:45,559.3,784.8
North Fish Creek at Old Hwy 2,NFO2,3/15/16,19:45,925.5,812.7
North Fish Creek at Old Hwy 2,NFO2,3/15/16,21:45,724.9,365.3
North Fish Creek at Old Hwy 2,NFO2,3/15/16,23:45,655.1,289.7
North Fish Creek at Old Hwy 2,NFO2,3/16/16,1:45,1020.6,516.1
North Fish Creek at Old Hwy 2,NFO2,3/16/16,3:45,1773.9,1383.2
North Fish Creek at Old Hwy 2,NFO2,3/16/16,5:45,2303.3,1499.5
North Fish Creek at Old Hwy 2,NFO2,3/16/16,7:45,2194,1156
North Fish Creek at Old Hwy 2,NFO2,3/16/16,9:45,1994.4,781.9
North Fish Creek at Old Hwy 2,NFO2,3/16/16,11:45,1570.8,488.9
North Fish Creek at Old Hwy 2,NFO2,3/16/16,13:45,1274.7,353.2
North Fish Creek at Old Hwy 2,NFO2,3/16/16,15:45,1049.6,317.5
North Fish Creek at Old Hwy 2,NFO2,3/28/16,13:45,124.5,65.8
North Fish Creek at Old Hwy 2,NFO2,3/30/16,15:15,297.1,136.3
North Fish Creek at Old Hwy 2,NFO2,3/30/16,17:15,306.7,147.8
North Fish Creek at Old Hwy 2,NFO2,3/30/16,19:15,280.5,104.4
North Fish Creek at Old Hwy 2,NFO2,3/30/16,21:15,257.3,72.8
North Fish Creek at Old Hwy 2,NFO2,3/30/16,23:15,236.9,62.8
North Fish Creek at Old Hwy 2,NFO2,3/31/16,1:15,219.1,46.8
North Fish Creek at Old Hwy 2,NFO2,3/31/16,2:15,210.3,41.9
North Fish Creek at Old Hwy 2,NFO2,3/31/16,3:15,201.7,41.4
North Fish Creek at Old Hwy 2,NFO2,3/31/16,4:15,195.2,38.9
North Fish Creek at Old Hwy 2,NFO2,3/31/16,5:15,191,35
North Fish Creek at Old Hwy 2,NFO2,3/31/16,7:15,182.5,30.8
North Fish Creek at Old Hwy 2,NFO2,3/31/16,9:15,174.2,24.4
North Fish Creek at Old Hwy 2,NFO2,3/31/16,11:15,165.9,23.7
North Fish Creek at Old Hwy 2,NFO2,3/31/16,13:15,161.9,25.5
North Fish Creek at Old Hwy 2,NFO2,4/25/16,14:15,404,286.5
North Fish Creek at Old Hwy 2,NFO2,5/9/16,12:15,59.8,1.3
North Fish Creek at Old Hwy 2,NFO2,5/23/16,10:35,56.7,2.8
North Fish Creek at Old Hwy 2,NFO2,5/24/16,1:15,350.7,686.2
North Fish Creek at Old Hwy 2,NFO2,5/24/16,3:15,626.5,1029.2
North Fish Creek at Old Hwy 2,NFO2,5/24/16,5:15,418.3,376.1
North Fish Creek at Old Hwy 2,NFO2,5/24/16,7:15,337.5,226.6
North Fish Creek at Old Hwy 2,NFO2,5/24/16,9:15,314.2,161.6
North Fish Creek at Old Hwy 2,NFO2,5/24/16,11:15,288.7,97.9
North Fish Creek at Old Hwy 2,NFO2,5/24/16,13:15,254.5,97.4
North Fish Creek at Old Hwy 2,NFO2,5/24/16,15:15,227.5,84.2
North Fish Creek at Old Hwy 2,NFO2,5/24/16,17:15,203.4,66.2
North Fish Creek at Old Hwy 2,NFO2,5/24/16,19:15,182.1,56.1
North Fish Creek at Old Hwy 2,NFO2,5/24/16,20:15,175.8,63.8
North Fish Creek at Old Hwy 2,NFO2,5/24/16,21:15,167.6,48.1
North Fish Creek at Old Hwy 2,NFO2,5/24/16,22:15,161.5,47.6
North Fish Creek at Old Hwy 2,NFO2,5/24/16,23:15,157.4,58.9
North Fish Creek at Old Hwy 2,NFO2,6/13/16,13:10,77.6,14.8
North Fish Creek at Old Hwy 2,NFO2,6/16/16,13:50,127.9,43.9
North Fish Creek at Old Hwy 2,NFO2,6/27/16,11:03,51.1,1.7
North Fish Creek at Old Hwy 2,NFO2,6/30/16,11:30,59,15.5
North Fish Creek at Old Hwy 2,NFO2,7/11/16,15:20,48,92.9
North Fish Creek at Old Hwy 2,NFO2,7/11/16,19:00,108.8,2668.9
North Fish Creek at Old Hwy 2,NFO2,7/11/16,21:00,1585,2687.3
North Fish Creek at Old Hwy 2,NFO2,7/11/16,23:00,2986.1,2935.3
North Fish Creek at Old Hwy 2,NFO2,7/12/16,1:00,2729.1,2272.9
North Fish Creek at Old Hwy 2,NFO2,7/12/16,3:00,2334.9,1227.9
North Fish Creek at Old Hwy 2,NFO2,7/12/16,5:00,1866.6,1174.7
North Fish Creek at Old Hwy 2,NFO2,7/12/16,7:00,1454,731.4
North Fish Creek at Old Hwy 2,NFO2,7/12/16,9:00,1160.8,541.4
North Fish Creek at Old Hwy 2,NFO2,7/12/16,11:00,950.6,375
North Fish Creek at Old Hwy 2,NFO2,7/12/16,13:00,766.4,308.2
North Fish Creek at Old Hwy 2,NFO2,7/12/16,15:00,620.9,241.6
North Fish Creek at Old Hwy 2,NFO2,7/12/16,13:30,727.8,580.8
North Fish Creek at Old Hwy 2,NFO2,7/26/16,15:25,49.5,3.2
North Fish Creek at Old Hwy 2,NFO2,8/8/16,15:30,50,2.2
North Fish Creek at Old Hwy 2,NFO2,8/8/16,16:00,48.4,82.6
North Fish Creek at Old Hwy 2,NFO2,8/22/16,12:50,52.3,2.9
North Fish Creek at Old Hwy 2,NFO2,8/22/16,12:50,52.3,22.5
North Fish Creek at Old Hwy 2,NFO2,9/5/16,7:15,71.7,118.3
North Fish Creek at Old Hwy 2,NFO2,9/5/16,9:15,73.5,34.4
North Fish Creek at Old Hwy 2,NFO2,9/5/16,15:15,58.1,18.6
North Fish Creek at Old Hwy 2,NFO2,9/5/16,23:15,58.2,5.6
North Fish Creek at Old Hwy 2,NFO2,9/6/16,3:15,66.7,327
North Fish Creek at Old Hwy 2,NFO2,9/6/16,5:15,70,63.8
North Fish Creek at Old Hwy 2,NFO2,9/6/16,6:15,71.6,78.8
North Fish Creek at Old Hwy 2,NFO2,9/6/16,13:45,101,306.8
North Fish Creek at Old Hwy 2,NFO2,9/6/16,14:45,99.1,232.1
North Fish Creek at Old Hwy 2,NFO2,9/6/16,16:45,91.6,126.5
North Fish Creek at Old Hwy 2,NFO2,9/6/16,18:45,82.5,68.5
North Fish Creek at Old Hwy 2,NFO2,9/7/16,2:45,77.1,29.1
North Fish Creek at Old Hwy 2,NFO2,9/6/16,13:00,106.8,228.7
Bono Creek at Bjork Rd,BCBR,4/30/14,14:45,72.81,114
Bono Creek at Bjork Rd,BCBR,7/15/14,11:20,0.07,1.4
Bono Creek at Bjork Rd,BCBR,8/12/14,11:56,0.08,4.3
Bono Creek at Bjork Rd,BCBR,3/30/15,14:10,0.29,3
Bono Creek at Bjork Rd,BCBR,4/21/15,14:00,3.86,4.3
Bono Creek at Bjork Rd,BCBR,5/18/15,11:55,6.35,10.4
Bono Creek at Bjork Rd,BCBR,6/16/15,13:15,0.14,4.8
Bono Creek at Bjork Rd,BCBR,7/14/15,12:40,0.06,4.2
Bono Creek at Bjork Rd,BCBR,7/30/15,13:00,0.07,5.6
Bono Creek at Bjork Rd,BCBR,8/7/15,14:15,NA,11.7
Bono Creek at Bjork Rd,BCBR,8/11/15,11:00,NA,2.4
Bono Creek at Bjork Rd,BCBR,8/19/15,12:25,NA,12.2
Bono Creek at Bjork Rd,BCBR,8/25/15,14:45,NA,1.9
Bono Creek at Bjork Rd,BCBR,9/8/15,11:05,NA,19.6
Bono Creek at Bjork Rd,BCBR,9/22/15,12:40,NA,21.7
Bono Creek at Bjork Rd,BCBR,10/6/15,11:45,NA,7.1
Bono Creek at Bjork Rd,BCBR,10/20/15,15:10,NA,0.8
Bono Creek at Bjork Rd,BCBR,11/3/15,10:50,0.15,18.9
Bono Creek at Bjork Rd,BCBR,12/8/15,11:00,0.51,1.7
Bono Creek at Bjork Rd,BCBR,3/11/16,18:00,44.86,130.7
Bono Creek at Bjork Rd,BCBR,4/25/16,14:40,48.12,95.9
Bono Creek at Bjork Rd,BCBR,5/23/16,13:20,0.19,6.8
Bono Creek at Bjork Rd,BCBR,6/14/16,11:35,0.25,7.1
Bono Creek at Bjork Rd,BCBR,6/27/16,13:20,0.03,5.7
Bono Creek at Bjork Rd,BCBR,6/30/16,12:35,0.17,4.9
Bono Creek at Bjork Rd,BCBR,7/11/16,11:55,0.9,8.8
Bono Creek at Bjork Rd,BCBR,7/12/16,12:20,22.45,39.8
Bono Creek at Bjork Rd,BCBR,7/26/16,11:55,0.03,2.1
Bono Creek at Bjork Rd,BCBR,8/8/16,12:00,0.04,3.1
Bono Creek at Bjork Rd,BCBR,8/22/16,12:15,0.18,3.9
Bono Creek at Bjork Rd,BCBR,9/5/16,14:00,0.3,1.2
Bay City Creek at Hwy 13,BCC,4/8/14,11:17,19.18,6.3
Bay City Creek at Hwy 13,BCC,4/10/14,12:40,76,107.6
Bay City Creek at Hwy 13,BCC,4/21/14,19:10,160,304.8
Bay City Creek at Hwy 13,BCC,4/22/14,13:26,53,100.5
Bay City Creek at Hwy 13,BCC,5/7/14,10:35,4.9,4.6
Bay City Creek at Hwy 13,BCC,5/9/14,10:30,81,103.6
Bay City Creek at Hwy 13,BCC,5/14/14,13:25,9.15,5.5
Bay City Creek at Hwy 13,BCC,5/19/14,14:31,3.9,2.4
Bay City Creek at Hwy 13,BCC,5/20/14,14:34,25.5,31.4
Bay City Creek at Hwy 13,BCC,6/4/14,14:27,0.5,4.4
Bay City Creek at Hwy 13,BCC,7/1/14,8:39,0.467,5
Bay City Creek at Hwy 13,BCC,7/16/14,9:45,0.041,4.2
Bay City Creek at Hwy 13,BCC,7/28/14,13:50,0.036,11.7
Bay City Creek at Hwy 13,BCC,8/14/14,15:58,,14.7
Bay City Creek at Hwy 13,BCC,8/25/14,9:55,64.76,112.1
Bay City Creek at Hwy 13,BCC,3/17/15,15:00,21.8,20.5
Bay City Creek at Hwy 13,BCC,3/30/15,16:45,1.11,1.6
Bay City Creek at Hwy 13,BCC,4/20/15,16:50,20.9,50.9
Bay City Creek at Hwy 13,BCC,5/4/15,12:30,0.136,2.2
Bay City Creek at Hwy 13,BCC,5/18/15,11:30,3.24,3.9
Bay City Creek at Hwy 13,BCC,6/2/15,15:45,0.22,3.9
Bay City Creek at Hwy 13,BCC,6/16/15,16:15,0.61,7.4
Bay City Creek at Hwy 13,BCC,6/30/15,15:15,0.03,4.2
Bay City Creek at Hwy 13,BCC,7/14/15,13:15,4.2,11.4
Bay City Creek at Hwy 13,BCC,7/28/15,9:33,0.0025,16.2
Bay City Creek at Hwy 13,BCC,8/11/15,9:30,0.004,6.5
Bay City Creek at Hwy 13,BCC,8/19/15,9:05,1.035,23.9
Bay City Creek at Hwy 13,BCC,8/25/15,15:45,0.05,2.3
Bay City Creek at Hwy 13,BCC,9/8/15,15:20,0.013,13.4
Bay City Creek at Hwy 13,BCC,9/22/15,13:45,0.00001,10.1
Bay City Creek at Hwy 13,BCC,10/6/15,12:30,0.00001,7.2
Bay City Creek at Hwy 13,BCC,10/20/15,16:40,0.00001,7.4
Bay City Creek at Hwy 13,BCC,11/3/15,12:15,0.064,1.7
Bay City Creek at Hwy 13,BCC,3/11/16,18:30,38.2,79.6
Bay City Creek at Hwy 13,BCC,3/28/16,16:10,14.2,22.9
Bay City Creek at Hwy 13,BCC,4/14/16,13:15,4.78,5.4
Bay City Creek at Hwy 13,BCC,4/25/16,8:45,72,163.4
Bay City Creek at Hwy 13,BCC,5/9/16,16:20,0.49,4.1
Bay City Creek at Hwy 13,BCC,5/23/16,9:20,0.19,3.8
Bay City Creek at Hwy 13,BCC,6/14/16,9:20,3.5,5.9
Bay City Creek at Hwy 13,BCC,6/27/16,14:25,0.24,14.4
Bay City Creek at Hwy 13,BCC,6/30/16,14:00,4.96,118.2
Bay City Creek at Hwy 13,BCC,7/11/16,10:00,5.96,76.7
Bay City Creek at Hwy 13,BCC,7/12/16,14:35,149,514.4
Bay City Creek at Hwy 13,BCC,7/26/16,16:15,0.047,6
Bay City Creek at Hwy 13,BCC,8/22/16,16:00,0.03,18.9
Bay City Creek at Hwy 13,BCC,9/6/16,15:20,0.73,89.8
Little Sioux River at Friendly Valley Rd.,LTLS,4/22/14,11:20,59.391,134
Little Sioux River at Friendly Valley Rd.,LTLS,5/30/14,12:15,14.123,52.5
Little Sioux River at Friendly Valley Rd.,LTLS,6/6/14,14:55,NA,10.7
Little Sioux River at Friendly Valley Rd.,LTLS,6/13/14,15:40,NA,60
Little Sioux River at Friendly Valley Rd.,LTLS,7/14/14,12:11,12.07,9.7
Little Sioux River at Friendly Valley Rd.,LTLS,8/12/14,10:23,11.2,2.4
Little Sioux River at Friendly Valley Rd.,LTLS,1/29/15,14:30,12.114,3
Little Sioux River at Friendly Valley Rd.,LTLS,3/30/15,14:50,11,8.3
Little Sioux River at Friendly Valley Rd.,LTLS,4/21/15,14:40,17.668,14.7
Little Sioux River at Friendly Valley Rd.,LTLS,5/18/15,12:40,15.517,6.2
Little Sioux River at Friendly Valley Rd.,LTLS,6/16/15,14:15,13.694,4.8
Little Sioux River at Friendly Valley Rd.,LTLS,7/28/15,16:00,11.842,3.6
Little Sioux River at Friendly Valley Rd.,LTLS,8/25/15,12:15,NA,2.4
Little Sioux River at Friendly Valley Rd.,LTLS,9/22/15,11:50,NA,1.6
Little Sioux River at Friendly Valley Rd.,LTLS,10/20/15,15:50,NA,1.2
Little Sioux River at Friendly Valley Rd.,LTLS,3/11/16,18:45,29.399,167.8
Little Sioux River at Friendly Valley Rd.,LTLS,4/25/16,14:00,104.371,183.1
Little Sioux River at Friendly Valley Rd.,LTLS,5/23/16,14:20,42.063,11.6
Little Sioux River at Friendly Valley Rd.,LTLS,6/14/16,10:35,NA,79.6
Little Sioux River at Friendly Valley Rd.,LTLS,7/12/16,13:10,70.073,177.3
Little Sioux River at Friendly Valley Rd.,LTLS,8/8/16,10:00,12.661,25.5
North Fish Creek at Hwy 2 Near Ino,NF2I,4/21/14,12:05,151.16,25.8
North Fish Creek at Hwy 2 Near Ino,NF2I,7/15/14,14:51,2.29,2.2
North Fish Creek at Hwy 2 Near Ino,NF2I,8/12/14,13:30,2.02,ND
North Fish Creek at Hwy 2 Near Ino,NF2I,3/6/15,10:30,1.93,1.5
North Fish Creek at Hwy 2 Near Ino,NF2I,3/30/15,12:45,5.87,4.5
North Fish Creek at Hwy 2 Near Ino,NF2I,4/21/15,10:50,24.37,4.8
North Fish Creek at Hwy 2 Near Ino,NF2I,5/18/15,10:20,9.41,4.6
North Fish Creek at Hwy 2 Near Ino,NF2I,6/16/15,10:45,1.94,3.8
North Fish Creek at Hwy 2 Near Ino,NF2I,7/28/15,13:15,1.63,ND
North Fish Creek at Hwy 2 Near Ino,NF2I,8/25/15,15:15,NA,2.5
North Fish Creek at Hwy 2 Near Ino,NF2I,10/20/15,13:20,NA,ND
North Fish Creek at Hwy 2 Near Ino,NF2I,3/12/16,15:30,98.49,42.5
North Fish Creek at Hwy 2 Near Ino,NF2I,5/23/16,10:10,2.07,6.3
North Fish Creek at Hwy 2 Near Ino,NF2I,6/14/16,12:40,5.95,7.9
North Fish Creek at Hwy 2 Near Ino,NF2I,7/11/16,13:00,2.69,3.4
North Fish Creek at Hwy 2 Near Ino,NF2I,7/12/16,11:10,556.46,82.2
North Fish Creek at Hwy 2 Near Ino,NF2I,8/9/16,12:55,1.47,6
North Fish Creek at Hwy 2 Near Ino,NF2I,6/12/17,9:20,NA,4.2
North Fish Creek at Hwy 2 Near Ino,NF2I,6/26/17,14:10,NA,9.3
