Site Name ,Site ID,Date,Time (CDT),Discharge (CFS),Suspended Sediment (1.5 um filter) Concentration (mg/L)
North Fish Creek at Hwy 2 Near Ino,NF2I,7/10/17,11:25,NA,3.6
North Fish Creek at Hwy 2 Near Ino,NF2I,7/24/17,11:20,NA,6
North Fish Creek at Hwy 2 Near Ino,NF2I,8/7/17,11:55,1.64,11.6
North Fish Creek at Hwy 2 Near Ino,NF2I,8/21/17,11:00,NA,4.3
Pine Creek at Old Hwy 2,PCO2,4/22/14,13:05,58.4,63.2
Pine Creek at Old Hwy 2,PCO2,4/23/14,13:20,40,22.9
Pine Creek at Old Hwy 2,PCO2,5/30/14,14:35,19,2.7
Pine Creek at Old Hwy 2,PCO2,6/13/14,11:20,21.9,4.6
Pine Creek at Old Hwy 2,PCO2,7/14/14,15:35,19.2,3
Pine Creek at Old Hwy 2,PCO2,8/12/14,15:39,19.2,1.8
Pine Creek at Old Hwy 2,PCO2,1/29/15,15:36,19.8,3.3
Pine Creek at Old Hwy 2,PCO2,3/6/15,13:15,19.7,3.1
Pine Creek at Old Hwy 2,PCO2,3/30/15,13:30,24,3.3
Pine Creek at Old Hwy 2,PCO2,4/20/15,13:45,51.8,137.5
Pine Creek at Old Hwy 2,PCO2,5/18/15,11:20,25.2,6.4
Pine Creek at Old Hwy 2,PCO2,5/19/15,11:50,22.2,ND
Pine Creek at Old Hwy 2,PCO2,6/2/15,11:00,19.9,4.6
Pine Creek at Old Hwy 2,PCO2,6/9/15,10:35,19.9,4.6
Pine Creek at Old Hwy 2,PCO2,6/16/15,10:00,18.4,4
Pine Creek at Old Hwy 2,PCO2,6/23/15,10:05,18.4,6.1
Pine Creek at Old Hwy 2,PCO2,6/30/15,10:25,19.1,6.3
Pine Creek at Old Hwy 2,PCO2,7/7/15,10:05,19.6,8.4
Pine Creek at Old Hwy 2,PCO2,7/7/15,13:45,19.4,6.1
Pine Creek at Old Hwy 2,PCO2,7/7/15,14:30,18.3,5
Pine Creek at Old Hwy 2,PCO2,7/14/15,9:55,19.6,6.4
Pine Creek at Old Hwy 2,PCO2,7/20/15,10:55,19.4,5.1
Pine Creek at Old Hwy 2,PCO2,7/28/15,11:00,17,6
Pine Creek at Old Hwy 2,PCO2,7/29/15,12:35,17.4,5.6
Pine Creek at Old Hwy 2,PCO2,8/4/15,10:05,NA,5.5
Pine Creek at Old Hwy 2,PCO2,8/11/15,10:25,NA,6.6
Pine Creek at Old Hwy 2,PCO2,8/18/15,10:52,NA,5
Pine Creek at Old Hwy 2,PCO2,8/19/15,14:47,NA,375.5
Pine Creek at Old Hwy 2,PCO2,8/20/15,13:45,NA,10.2
Pine Creek at Old Hwy 2,PCO2,8/20/15,13:57,NA,10.1
Pine Creek at Old Hwy 2,PCO2,8/20/15,11:15,NA,11
Pine Creek at Old Hwy 2,PCO2,8/25/15,10:35,NA,3.5
Pine Creek at Old Hwy 2,PCO2,9/22/15,11:10,NA,1.4
Pine Creek at Old Hwy 2,PCO2,10/20/15,14:00,NA,1.1
Pine Creek at Old Hwy 2,PCO2,3/9/16,17:00,103.2,53
Pine Creek at Old Hwy 2,PCO2,3/12/16,16:15,98.6,108.9
Pine Creek at Old Hwy 2,PCO2,4/25/16,14:20,114.1,143.3
Pine Creek at Old Hwy 2,PCO2,5/23/16,10:45,22.2,2
Pine Creek at Old Hwy 2,PCO2,6/14/16,12:25,23,2.6
Pine Creek at Old Hwy 2,PCO2,7/11/16,16:00,19.1,9.9
Pine Creek at Old Hwy 2,PCO2,7/12/16,10:35,86.8,147.1
Pine Creek at Old Hwy 2,PCO2,8/8/16,16:10,18.6,34.8
Sioux River at Big Rock Rd,SXBR,4/10/14,9:35,250,142.8
Sioux River at Big Rock Rd,SXBR,4/21/14,18:00,491,724.8
Sioux River at Big Rock Rd,SXBR,5/9/14,13:55,236,226.9
Sioux River at Big Rock Rd,SXBR,5/30/14,10:50,24,2.5
Sioux River at Big Rock Rd,SXBR,6/4/14,10:30,32,4.4
Sioux River at Big Rock Rd,SXBR,6/6/14,13:15,27,2.5
Sioux River at Big Rock Rd,SXBR,6/13/14,14:15,33,3.7
Sioux River at Big Rock Rd,SXBR,6/30/14,11:13,28,11.7
Sioux River at Big Rock Rd,SXBR,7/14/14,13:51,21,4.3
Sioux River at Big Rock Rd,SXBR,7/28/14,10:33,19,1.2
Sioux River at Big Rock Rd,SXBR,8/11/14,10:46,21,1.3
Sioux River at Big Rock Rd,SXBR,8/25/14,11:45,72,239.3
Sioux River at Big Rock Rd,SXBR,9/10/14,11:30,313,270.4
Sioux River at Big Rock Rd,SXBR,9/29/14,12:05,23,0.9
Sioux River at Big Rock Rd,SXBR,10/14/14,10:20,23,1.6
Sioux River at Big Rock Rd,SXBR,12/9/14,13:45,23,1.4
Sioux River at Big Rock Rd,SXBR,1/22/15,15:55,21,2.7
Sioux River at Big Rock Rd,SXBR,3/5/15,13:15,20,4.7
Sioux River at Big Rock Rd,SXBR,3/30/15,14:40,33,5.4
Sioux River at Big Rock Rd,SXBR,4/20/15,15:45,119,98.6
Sioux River at Big Rock Rd,SXBR,6/2/15,14:00,26,2.3
Sioux River at Big Rock Rd,SXBR,6/4/15,16:10,128,185.6
Sioux River at Big Rock Rd,SXBR,6/16/15,13:50,23,2.4
Sioux River at Big Rock Rd,SXBR,6/30/15,13:00,24,3.2
Sioux River at Big Rock Rd,SXBR,7/14/15,10:40,22,6.7
Sioux River at Big Rock Rd,SXBR,7/29/15,10:50,22,2.3
Sioux River at Big Rock Rd,SXBR,8/11/15,10:15,22,2.8
Sioux River at Big Rock Rd,SXBR,8/19/15,11:55,99,111.1
Sioux River at Big Rock Rd,SXBR,8/25/15,14:00,22,2
Sioux River at Big Rock Rd,SXBR,9/8/15,9:40,22,1.9
Sioux River at Big Rock Rd,SXBR,9/22/15,12:10,22,ND
Sioux River at Big Rock Rd,SXBR,10/6/15,11:05,24,1.1
Sioux River at Big Rock Rd,SXBR,10/20/15,15:40,22,ND
Sioux River at Big Rock Rd,SXBR,11/3/15,10:15,24,1.7
Sioux River at Big Rock Rd,SXBR,12/8/15,10:30,29,2.3
Sioux River at Big Rock Rd,SXBR,3/8/16,18:45,82,45.9
Sioux River at Big Rock Rd,SXBR,3/11/16,18:30,103,75.6
Sioux River at Big Rock Rd,SXBR,3/12/16,19:45,223,252.5
Sioux River at Big Rock Rd,SXBR,3/16/16,12:30,1627,967.1
Sioux River at Big Rock Rd,SXBR,3/16/16,15:15,761,602.9
Sioux River at Big Rock Rd,SXBR,3/28/16,15:30,53,6.3
Sioux River at Big Rock Rd,SXBR,4/14/16,12:00,55,11.1
Sioux River at Big Rock Rd,SXBR,4/25/16,16:15,329,271.4
Sioux River at Big Rock Rd,SXBR,5/9/16,15:30,26,2
Sioux River at Big Rock Rd,SXBR,5/23/16,14:00,26,1.7
Sioux River at Big Rock Rd,SXBR,6/14/16,10:40,26,1.8
Sioux River at Big Rock Rd,SXBR,6/16/16,11:20,89,52.2
Sioux River at Big Rock Rd,SXBR,6/27/16,15:00,24,1.3
Sioux River at Big Rock Rd,SXBR,6/30/16,13:10,26,2.5
Sioux River at Big Rock Rd,SXBR,7/11/16,13:30,39,141
Sioux River at Big Rock Rd,SXBR,7/12/16,10:30,396,605.7
Sioux River at Big Rock Rd,SXBR,7/26/16,11:15,23,4.9
Sioux River at Big Rock Rd,SXBR,8/8/16,11:10,21,3.9
Sioux River at Big Rock Rd,SXBR,8/22/16,13:45,23,2.8
Sioux River at Big Rock Rd,SXBR,9/6/16,14:25,31,4.6
South Fish Creek at Colby Rd,SFCR,4/21/14,15:35,488.5,574.1
South Fish Creek at Colby Rd,SFCR,5/9/14,15:35,195.9,370.9
South Fish Creek at Colby Rd,SFCR,6/4/14,14:30,6.2,8
South Fish Creek at Colby Rd,SFCR,6/30/14,14:45,5.5,22.6
South Fish Creek at Colby Rd,SFCR,7/15/14,13:09,0.8,6.6
South Fish Creek at Colby Rd,SFCR,7/28/14,13:50,0.4,11.4
South Fish Creek at Colby Rd,SFCR,8/25/14,14:05,299.5,395.8
South Fish Creek at Colby Rd,SFCR,12/9/14,17:15,1,0.9
South Fish Creek at Colby Rd,SFCR,3/5/15,15:00,0.2,ND
South Fish Creek at Colby Rd,SFCR,3/17/15,14:30,37.7,33.7
South Fish Creek at Colby Rd,SFCR,3/30/15,12:15,2.9,2.4
South Fish Creek at Colby Rd,SFCR,4/20/15,11:45,18.5,37.8
South Fish Creek at Colby Rd,SFCR,5/4/15,9:10,NA,2.2
South Fish Creek at Colby Rd,SFCR,5/11/15,9:20,4.9,4.7
South Fish Creek at Colby Rd,SFCR,5/18/15,10:25,15.3,12.3
South Fish Creek at Colby Rd,SFCR,5/19/15,12:25,9.1,2.9
South Fish Creek at Colby Rd,SFCR,6/2/15,10:30,1.8,5.3
South Fish Creek at Colby Rd,SFCR,6/4/15,14:30,23.4,60
South Fish Creek at Colby Rd,SFCR,6/9/15,10:20,3.5,ND
South Fish Creek at Colby Rd,SFCR,6/16/15,9:40,0.6,7.4
South Fish Creek at Colby Rd,SFCR,6/23/15,9:45,1,10.2
South Fish Creek at Colby Rd,SFCR,6/30/15,9:40,2.8,12
South Fish Creek at Colby Rd,SFCR,7/7/15,9:50,15.8,48.4
South Fish Creek at Colby Rd,SFCR,7/14/15,9:35,3.6,23.6
South Fish Creek at Colby Rd,SFCR,7/20/15,10:40,0.3,11.1
South Fish Creek at Colby Rd,SFCR,7/28/15,10:45,0.1,15
South Fish Creek at Colby Rd,SFCR,8/4/15,9:48,0.1,7.3
South Fish Creek at Colby Rd,SFCR,8/7/15,10:32,0.5,9.9
South Fish Creek at Colby Rd,SFCR,8/11/15,10:05,0.1,9.4
South Fish Creek at Colby Rd,SFCR,8/18/15,10:35,0.1,5.3
South Fish Creek at Colby Rd,SFCR,8/19/15,13:35,6.9,78.2
South Fish Creek at Colby Rd,SFCR,8/20/15,10:59,39.2,89.2
South Fish Creek at Colby Rd,SFCR,8/25/15,10:15,1.3,6.9
South Fish Creek at Colby Rd,SFCR,9/8/15,11:55,0.3,5.1
South Fish Creek at Colby Rd,SFCR,9/22/15,9:30,0.1,1.4
South Fish Creek at Colby Rd,SFCR,10/6/15,9:25,0.1,1.8
South Fish Creek at Colby Rd,SFCR,10/20/15,12:45,0.1,ND
South Fish Creek at Colby Rd,SFCR,10/28/15,12:00,0.7,2.9
South Fish Creek at Colby Rd,SFCR,11/3/15,12:30,1.7,2.2
South Fish Creek at Colby Rd,SFCR,12/8/15,12:20,6.7,4.9
South Fish Creek at Colby Rd,SFCR,3/8/16,16:15,175.1,78.5
South Fish Creek at Colby Rd,SFCR,3/9/16,13:00,289,169.7
South Fish Creek at Colby Rd,SFCR,3/12/16,18:00,135,184.2
South Fish Creek at Colby Rd,SFCR,3/16/16,11:30,742,1448.5
South Fish Creek at Colby Rd,SFCR,3/17/16,16:00,159.8,200
South Fish Creek at Colby Rd,SFCR,3/28/16,13:15,29.1,18.3
South Fish Creek at Colby Rd,SFCR,4/14/16,10:00,27.1,10.8
South Fish Creek at Colby Rd,SFCR,4/25/16,9:15,335.2,785.3
South Fish Creek at Colby Rd,SFCR,4/25/16,11:00,307.5,481.7
South Fish Creek at Colby Rd,SFCR,5/9/16,10:00,2.7,2.7
South Fish Creek at Colby Rd,SFCR,5/23/16,11:20,1.3,4.7
South Fish Creek at Colby Rd,SFCR,6/13/16,15:40,6.2,22
South Fish Creek at Colby Rd,SFCR,6/16/16,12:40,75,75.9
South Fish Creek at Colby Rd,SFCR,6/27/16,13:30,1.3,3.8
South Fish Creek at Colby Rd,SFCR,6/30/16,11:15,1.7,10.6
South Fish Creek at Colby Rd,SFCR,7/11/16,11:15,1.2,7.9
South Fish Creek at Colby Rd,SFCR,7/12/16,10:10,564.3,713.3
South Fish Creek at Colby Rd,SFCR,7/12/16,12:00,473.4,1061
South Fish Creek at Colby Rd,SFCR,7/26/16,13:40,1,2.8
South Fish Creek at Colby Rd,SFCR,8/8/16,14:05,0.1,2.7
South Fish Creek at Colby Rd,SFCR,9/6/16,12:10,0.3,27.7
Thompson Creek at Bigelow St,TCBS,4/30/14,13:15,98.7,163.2
Thompson Creek at Bigelow St,TCBS,6/4/14,11:25,3.6,1.5
Thompson Creek at Bigelow St,TCBS,6/30/14,11:30,2.6,ND
Thompson Creek at Bigelow St,TCBS,7/28/14,11:41,2.2,ND
Thompson Creek at Bigelow St,TCBS,8/11/14,12:08,2.5,ND
Thompson Creek at Bigelow St,TCBS,11/25/14,13:45,15.4,52.4
Thompson Creek at Bigelow St,TCBS,3/17/15,13:20,10.6,9.2
Thompson Creek at Bigelow St,TCBS,3/30/15,14:25,4.2,2.4
Thompson Creek at Bigelow St,TCBS,4/20/15,16:00,20.7,46.1
Thompson Creek at Bigelow St,TCBS,5/4/15,11:11,2.8,0.9
Thompson Creek at Bigelow St,TCBS,5/18/15,12:00,14.9,17.6
Thompson Creek at Bigelow St,TCBS,6/2/15,15:20,2.7,0.8
Thompson Creek at Bigelow St,TCBS,6/16/15,13:35,2.3,2.9
Thompson Creek at Bigelow St,TCBS,6/30/15,14:30,2.6,ND
Thompson Creek at Bigelow St,TCBS,7/14/15,11:05,2.2,1.1
Thompson Creek at Bigelow St,TCBS,7/29/15,11:55,2.1,1.7
Thompson Creek at Bigelow St,TCBS,8/11/15,10:40,NA,2.1
Thompson Creek at Bigelow St,TCBS,8/19/15,12:15,NA,26.4
Thompson Creek at Bigelow St,TCBS,8/25/15,14:30,NA,ND
Thompson Creek at Bigelow St,TCBS,9/8/15,10:41,2.1,ND
Thompson Creek at Bigelow St,TCBS,9/22/15,12:25,NA,ND
Thompson Creek at Bigelow St,TCBS,10/6/15,11:25,NA,1.8
Thompson Creek at Bigelow St,TCBS,10/20/15,15:20,NA,ND
Thompson Creek at Bigelow St,TCBS,11/3/15,10:35,2.5,ND
Thompson Creek at Bigelow St,TCBS,3/11/16,17:00,46.1,151.5
Thompson Creek at Bigelow St,TCBS,3/28/16,15:25,16.4,8.8
Thompson Creek at Bigelow St,TCBS,4/14/16,12:45,11.8,5.8
Thompson Creek at Bigelow St,TCBS,4/25/16,14:30,75.5,235.4
Thompson Creek at Bigelow St,TCBS,5/9/16,14:00,3.2,4.9
Thompson Creek at Bigelow St,TCBS,5/23/16,13:45,2.5,1.5
Thompson Creek at Bigelow St,TCBS,7/11/16,11:30,10.5,144
Thompson Creek at Bigelow St,TCBS,7/12/16,12:40,48.9,206.5
Thompson Creek at Bigelow St,TCBS,8/8/16,11:40,2.3,1.1
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,4/30/14,14:30,42,334.7
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,7/15/14,15:45,0.02,1.6
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/12/14,14:15,0,6.3
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,3/30/15,13:00,0.94,1.6
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,4/21/15,12:15,1.48,3.9
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,5/18/15,10:30,0.33,1.8
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,6/16/15,11:30,0,2.2
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,7/28/15,13:45,0.01,4.3
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/7/15,11:00,0.01,4.6
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/11/15,12:00,,7.4
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/19/15,14:15,21.4,58.5
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,8/25/15,15:15,,1
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,9/8/15,12:45,,1.6
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,9/22/15,10:45,,14
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,10/6/15,10:15,,4.6
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,10/20/15,13:30,,3.9
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,11/3/15,11:00,0.21,1.5
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,12/8/15,10:45,0.56,1.2
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,3/12/16,17:30,32.23,74.3
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,4/25/16,13:00,16.88,33.7
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,5/23/16,10:15,0.02,2
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,6/14/16,13:00,0.28,2.1
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,6/30/16,12:00,0.04,2.8
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,7/11/16,13:15,0.03,1.1
Unnamed Tributary to North Fish Creek at Hwy 2,NFT2,7/12/16,11:20,8.99,95.4
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,5/11/15,9:30,2.57,16
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,5/18/15,10:35,6.93,ND
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/2/15,10:15,0.09,35.4
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/4/15,12:55,7.74,83.1
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/9/15,10:05,0.23,5.8
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/16/15,9:20,0.04,9
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/23/15,9:30,0.04,17.2
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/30/15,9:15,0.04,3.2
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/7/15,9:40,1.62,9.6
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/14/15,9:15,0.66,9.1
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/20/15,10:25,0.004,36.6
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/28/15,10:05,0.0005,82.3
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/4/15,9:35,0.004,20.2
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/7/15,10:15,0.011,80.4
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/11/15,9:50,0.005,16.9
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/18/15,10:15,0.005,44.3
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/19/15,13:25,1.15,38.5
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/20/15,10:45,0.43,26.3
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/25/15,10:05,0.006,2.9
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,9/8/15,12:10,0.007,30.6
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,9/22/15,9:50,0.007,2.4
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,10/6/15,9:40,0.005,8
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,10/20/15,12:10,0.007,19.2
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,10/28/15,12:15,0.03,9.6
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,11/3/15,11:20,0.011,14.9
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,12/8/15,11:15,0.7,3.1
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,3/8/16,15:30,29.8,147.4
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,3/9/16,13:15,48.74,94.2
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,3/12/16,16:45,12.45,127.6
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,3/17/16,15:45,20.62,47.9
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,4/14/16,9:45,2.02,9.8
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,4/25/16,11:30,57.3,140
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,5/9/16,10:40,0.15,4.2
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,5/23/16,11:35,0.7,16.5
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/14/16,13:15,0.7,4.8
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/27/16,12:30,0.2,4.4
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,6/30/16,11:00,0.26,98.3
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/11/16,13:45,0.15,28.4
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/12/16,10:00,54.6,237.3
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,7/26/16,14:00,0.03,3.4
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/8/16,14:20,0.005,5.1
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,8/22/16,10:45,0.003,19.2
Unnamed Tributary to South Fish Creek at Colby Rd,SFTC,9/6/16,12:40,0.01,45.7
Whittlesey Creek at Cherryville Rd,WITC,6/4/14,12:30,21,5.7
Whittlesey Creek at Cherryville Rd,WITC,6/30/14,13:18,19,6.4
Whittlesey Creek at Cherryville Rd,WITC,7/15/14,11:47,20,3.3
Whittlesey Creek at Cherryville Rd,WITC,7/28/14,12:05,19,4.3
Whittlesey Creek at Cherryville Rd,WITC,8/11/14,12:40,19,13.5
Whittlesey Creek at Cherryville Rd,WITC,8/25/14,13:10,65,114.1
Whittlesey Creek at Cherryville Rd,WITC,3/17/15,13:05,28,42.4
Whittlesey Creek at Cherryville Rd,WITC,3/30/15,13:55,24,8.3
Whittlesey Creek at Cherryville Rd,WITC,4/20/15,16:15,33,68.8
Whittlesey Creek at Cherryville Rd,WITC,5/4/15,11:00,20,3.2
Whittlesey Creek at Cherryville Rd,WITC,5/18/15,11:40,23,10
Whittlesey Creek at Cherryville Rd,WITC,5/19/15,11:00,21,7.6
Whittlesey Creek at Cherryville Rd,WITC,6/2/15,12:00,20,11.6
Whittlesey Creek at Cherryville Rd,WITC,6/9/15,11:20,19,18
Whittlesey Creek at Cherryville Rd,WITC,6/16/15,10:40,19,5.6
Whittlesey Creek at Cherryville Rd,WITC,6/23/15,10:55,19,7
Whittlesey Creek at Cherryville Rd,WITC,6/30/15,11:10,19,4.4
Whittlesey Creek at Cherryville Rd,WITC,7/7/15,10:50,19,20.6
Whittlesey Creek at Cherryville Rd,WITC,7/14/15,10:35,19,8.8
Whittlesey Creek at Cherryville Rd,WITC,7/20/15,11:25,19,8.9
Whittlesey Creek at Cherryville Rd,WITC,7/28/15,11:48,19,41.6
Whittlesey Creek at Cherryville Rd,WITC,8/4/15,10:55,19,23
Whittlesey Creek at Cherryville Rd,WITC,8/11/15,11:08,19,5.3
Whittlesey Creek at Cherryville Rd,WITC,8/18/15,11:43,19,3.2
Whittlesey Creek at Cherryville Rd,WITC,8/20/15,12:05,23,16.2
Whittlesey Creek at Cherryville Rd,WITC,8/25/15,11:15,19,44.9
Whittlesey Creek at Cherryville Rd,WITC,9/8/15,11:30,19,2.3
Whittlesey Creek at Cherryville Rd,WITC,9/22/15,12:55,19,21.6
Whittlesey Creek at Cherryville Rd,WITC,10/6/15,12:05,17,19.4
Whittlesey Creek at Cherryville Rd,WITC,10/20/15,15:00,18,1.9
Whittlesey Creek at Cherryville Rd,WITC,11/3/15,10:10,18,55.2
Whittlesey Creek at Cherryville Rd,WITC,3/11/16,17:20,49,128
Whittlesey Creek at Cherryville Rd,WITC,3/28/16,15:15,26,7.8
Whittlesey Creek at Cherryville Rd,WITC,4/14/16,13:00,24,5.5
Whittlesey Creek at Cherryville Rd,WITC,4/25/16,14:50,110,279.6
Whittlesey Creek at Cherryville Rd,WITC,5/9/16,12:50,22,3.1
Whittlesey Creek at Cherryville Rd,WITC,5/23/16,13:00,22,2.6
Whittlesey Creek at Cherryville Rd,WITC,6/14/16,12:00,20,4.9
Whittlesey Creek at Cherryville Rd,WITC,6/27/16,13:00,18,8.1
Whittlesey Creek at Cherryville Rd,WITC,6/30/16,12:20,23,24.5
Whittlesey Creek at Cherryville Rd,WITC,7/11/16,12:20,21,24
Whittlesey Creek at Cherryville Rd,WITC,7/12/16,11:20,81,295.9
Whittlesey Creek at Cherryville Rd,WITC,7/26/16,12:20,20,4.9
Whittlesey Creek at Cherryville Rd,WITC,8/8/16,12:10,19,5.9
Whittlesey Creek at Cherryville Rd,WITC,8/22/16,11:55,19,7.3
Whittlesey Creek at Cherryville Rd,WITC,9/6/16,11:50,21,2.8