,,Discharge.Daily@NFT2,Discharge.Daily@NFT2,Discharge.Daily@NFT2,Discharge.Daily@NFT2
9/6/15,0:00:00,,,,8
9/7/15,0:00:00,,,,8
9/8/15,0:00:00,,,,8
9/9/15,0:00:00,,,,8
9/10/15,0:00:00,,,,8
9/11/15,0:00:00,,,,8
9/12/15,0:00:00,,,,8
9/13/15,0:00:00,,,,8
9/14/15,0:00:00,,,,8
9/15/15,0:00:00,,,,8
9/16/15,0:00:00,,,,8
9/17/15,0:00:00,,,,8
9/18/15,0:00:00,,,,8
9/19/15,0:00:00,,,,8
9/20/15,0:00:00,,,,8
9/21/15,0:00:00,,,,8
9/22/15,0:00:00,,,,8
9/23/15,0:00:00,,,,8
9/24/15,0:00:00,,,,8
9/25/15,0:00:00,,,,8
9/26/15,0:00:00,,,,8
9/27/15,0:00:00,,,,8
9/28/15,0:00:00,,,,8
9/29/15,0:00:00,,,,8
9/30/15,0:00:00,,,,8
10/1/15,0:00:00,,,,8
10/2/15,0:00:00,,,,8
10/3/15,0:00:00,,,,8
10/4/15,0:00:00,,,,8
10/5/15,0:00:00,,,,8
10/6/15,0:00:00,,,,8
10/7/15,0:00:00,,,,8
10/8/15,0:00:00,,,,8
10/9/15,0:00:00,,,,8
10/10/15,0:00:00,,,,8
10/11/15,0:00:00,,,,8
10/12/15,0:00:00,,,,8
10/13/15,0:00:00,,,,8
10/14/15,0:00:00,,,,8
10/15/15,0:00:00,,,,8
10/16/15,0:00:00,,,,8
10/17/15,0:00:00,,,,8
10/18/15,0:00:00,,,,8
10/19/15,0:00:00,,,,8
10/20/15,0:00:00,,,,8
10/21/15,0:00:00,,,,8
10/22/15,0:00:00,,,,8
10/23/15,0:00:00,,,,8
10/24/15,0:00:00,,,,8
10/25/15,0:00:00,,,,8
10/26/15,0:00:00,0,21,,8
10/27/15,0:00:00,0,21,,8
10/28/15,0:00:00,0.4,21,,8
10/29/15,0:00:00,0.3,21,,8
10/30/15,0:00:00,0.2,21,,8
10/31/15,0:00:00,0.5,21,,8
11/1/15,0:00:00,0.7,21,,8
11/2/15,0:00:00,0.3,21,,8
11/3/15,0:00:00,0.2,21,,8
11/4/15,0:00:00,0.2,21,,8
11/5/15,0:00:00,0.2,21,,8
11/6/15,0:00:00,0.1,21,,8
11/7/15,0:00:00,0.1,21,,8
11/8/15,0:00:00,0.1,21,,8
11/9/15,0:00:00,0.1,21,,8
11/10/15,0:00:00,0,21,,8
11/11/15,0:00:00,0,21,,8
11/12/15,0:00:00,20.4,21,,8
11/13/15,0:00:00,5.6,21,,8
11/14/15,0:00:00,2.7,21,,8
11/15/15,0:00:00,2.9,21,,8
11/16/15,0:00:00,4.4,21,,8
11/17/15,0:00:00,4.6,21,,8
11/18/15,0:00:00,5.5,21,,8
11/19/15,0:00:00,2.9,21,,8
11/20/15,0:00:00,1.2,21,,8
11/21/15,0:00:00,0.6,21,,8
11/22/15,0:00:00,0.2,21,,8
11/23/15,0:00:00,0.2,21,,8
11/24/15,0:00:00,0.2,21,,8
11/25/15,0:00:00,0.3,21,,8
11/26/15,0:00:00,0.3,21,,8
11/27/15,0:00:00,0.2,21,,8
11/28/15,0:00:00,0.1,21,,8
11/29/15,0:00:00,0.1,21,,8
11/30/15,0:00:00,0.1,21,,8
12/1/15,0:00:00,0.4,21,,8
12/2/15,0:00:00,0.8,21,,8
12/3/15,0:00:00,1,21,,8
12/4/15,0:00:00,0.9,21,,8
12/5/15,0:00:00,1.2,21,,8
12/6/15,0:00:00,1.5,21,,8
12/7/15,0:00:00,0.8,21,,8
12/8/15,0:00:00,0.6,21,,8
12/9/15,0:00:00,1,21,,8
12/10/15,0:00:00,7.3,21,,8
12/11/15,0:00:00,7.4,21,,8
12/12/15,0:00:00,2,21,,8
12/13/15,0:00:00,3.6,21,,8
12/14/15,0:00:00,4.7,21,,8
12/15/15,0:00:00,2,21,,8
12/16/15,0:00:00,1.4,21,,8
12/17/15,0:00:00,1.7,21,,8
12/18/15,0:00:00,1,21,,8
12/19/15,0:00:00,,,,8
12/20/15,0:00:00,,,,8
12/21/15,0:00:00,,,,8
12/22/15,0:00:00,,,,8
12/23/15,0:00:00,,,,8
12/24/15,0:00:00,,,,8
12/25/15,0:00:00,,,,8
12/26/15,0:00:00,,,,8
12/27/15,0:00:00,,,,8
12/28/15,0:00:00,,,,8
12/29/15,0:00:00,,,,8
12/30/15,0:00:00,,,,8
12/31/15,0:00:00,,,,8
1/1/16,0:00:00,,,,8
1/2/16,0:00:00,,,,8
1/3/16,0:00:00,,,,8
1/4/16,0:00:00,,,,8
1/5/16,0:00:00,,,,8
1/6/16,0:00:00,,,,8
1/7/16,0:00:00,,,,8
1/8/16,0:00:00,,,,8
1/9/16,0:00:00,,,,8
1/10/16,0:00:00,,,,8
1/11/16,0:00:00,,,,8
1/12/16,0:00:00,,,,8
1/13/16,0:00:00,,,,8
1/14/16,0:00:00,,,,8
1/15/16,0:00:00,,,,8
1/16/16,0:00:00,,,,8
1/17/16,0:00:00,,,,8
1/18/16,0:00:00,,,,8
1/19/16,0:00:00,,,,8
1/20/16,0:00:00,,,,8
1/21/16,0:00:00,,,,8
1/22/16,0:00:00,,,,8
1/23/16,0:00:00,,,,8
1/24/16,0:00:00,,,,8
1/25/16,0:00:00,,,,8
1/26/16,0:00:00,,,,8
1/27/16,0:00:00,,,,8
1/28/16,0:00:00,,,,8
1/29/16,0:00:00,,,,8
1/30/16,0:00:00,,,,8
1/31/16,0:00:00,,,,8
2/1/16,0:00:00,,,,8
2/2/16,0:00:00,,,,8
2/3/16,0:00:00,,,,8
2/4/16,0:00:00,,,,8
2/5/16,0:00:00,,,,8
2/6/16,0:00:00,,,,8
2/7/16,0:00:00,,,,8
2/8/16,0:00:00,,,,8
2/9/16,0:00:00,,,,8
2/10/16,0:00:00,,,,8
2/11/16,0:00:00,,,,8
2/12/16,0:00:00,,,,8
2/13/16,0:00:00,,,,8
2/14/16,0:00:00,,,,8
2/15/16,0:00:00,,,,8
2/16/16,0:00:00,,,,8
2/17/16,0:00:00,,,,8
2/18/16,0:00:00,,,,8
2/19/16,0:00:00,,,,8
2/20/16,0:00:00,,,,8
2/21/16,0:00:00,,,,8
2/22/16,0:00:00,,,,8
2/23/16,0:00:00,,,,8
2/24/16,0:00:00,,,,8
2/25/16,0:00:00,,,,8
2/26/16,0:00:00,,,,8
2/27/16,0:00:00,0.3,21,,8
2/28/16,0:00:00,0.9,21,,8
2/29/16,0:00:00,0.5,21,,8
3/1/16,0:00:00,0.1,21,,8
3/2/16,0:00:00,0.1,21,,8
3/3/16,0:00:00,0.1,21,,8
3/4/16,0:00:00,0.1,21,,8
3/5/16,0:00:00,0.1,21,,8
3/6/16,0:00:00,0.1,21,,8
3/7/16,0:00:00,8.8,21,,8
3/8/16,0:00:00,50.9,21,,8
3/9/16,0:00:00,38,21,,8
3/10/16,0:00:00,12.8,21,,8
3/11/16,0:00:00,15.3,21,,8
3/12/16,0:00:00,15.9,21,,8
3/13/16,0:00:00,7.5,21,,8
3/14/16,0:00:00,5,21,,8
3/15/16,0:00:00,16.4,21,,8
3/16/16,0:00:00,59,21,,8
3/17/16,0:00:00,7.7,21,,8
3/18/16,0:00:00,3.1,21,,8
3/19/16,0:00:00,2.4,21,,8
3/20/16,0:00:00,2.1,21,,8
3/21/16,0:00:00,1.6,21,,8
3/22/16,0:00:00,1.3,21,,8
3/23/16,0:00:00,0.8,21,,8
3/24/16,0:00:00,0.5,21,,8
3/25/16,0:00:00,0.5,21,,8
3/26/16,0:00:00,0.8,21,,8
3/27/16,0:00:00,1.1,21,,8
3/28/16,0:00:00,5,21,,8
3/29/16,0:00:00,3.7,21,,8
3/30/16,0:00:00,6.8,21,,8
3/31/16,0:00:00,3.7,21,,8
4/1/16,0:00:00,1.9,21,,8
4/2/16,0:00:00,1.1,21,,8
4/3/16,0:00:00,0.8,21,,8
4/4/16,0:00:00,0.6,21,,8
4/5/16,0:00:00,0.6,21,,8
4/6/16,0:00:00,0.9,21,,8
4/7/16,0:00:00,1.5,21,,8
4/8/16,0:00:00,1.9,21,,8
4/9/16,0:00:00,1.7,21,,8
4/10/16,0:00:00,6.7,21,,8
4/11/16,0:00:00,3.8,21,,8
4/12/16,0:00:00,2,21,,8
4/13/16,0:00:00,2.6,21,,8
4/14/16,0:00:00,2.4,21,,8
4/15/16,0:00:00,1.7,21,,8
4/16/16,0:00:00,1.1,21,,8
4/17/16,0:00:00,0.7,21,,8
4/18/16,0:00:00,0.5,21,,8
4/19/16,0:00:00,0.4,21,,8
4/20/16,0:00:00,0.3,21,,8
4/21/16,0:00:00,0.4,21,,8
4/22/16,0:00:00,0.3,21,,8
4/23/16,0:00:00,0.2,21,,8
4/24/16,0:00:00,1.3,21,,8
4/25/16,0:00:00,25.9,21,,8
4/26/16,0:00:00,6,21,,8
4/27/16,0:00:00,1.7,21,,8
4/28/16,0:00:00,0.9,21,,8
4/29/16,0:00:00,0.6,21,,8
4/30/16,0:00:00,0.4,21,,8
5/1/16,0:00:00,0.3,21,,8
5/2/16,0:00:00,0.2,21,,8
5/3/16,0:00:00,0.2,21,,8
5/4/16,0:00:00,0.2,21,,8
5/5/16,0:00:00,0.1,21,,8
5/6/16,0:00:00,0.2,21,,8
5/7/16,0:00:00,0.2,21,,8
5/8/16,0:00:00,0.1,21,,8
5/9/16,0:00:00,0.1,21,,8
5/10/16,0:00:00,0.1,21,,8
5/11/16,0:00:00,0.2,21,,8
5/12/16,0:00:00,0.6,21,,8
5/13/16,0:00:00,0.3,21,,8
5/14/16,0:00:00,0.2,21,,8
5/15/16,0:00:00,0.1,21,,8
5/16/16,0:00:00,0.1,21,,8
5/17/16,0:00:00,0.1,21,,8
5/18/16,0:00:00,0.1,21,,8
5/19/16,0:00:00,0,21,,8
5/20/16,0:00:00,0,21,,8
5/21/16,0:00:00,0,21,,8
5/22/16,0:00:00,0,21,,8
5/23/16,0:00:00,0.1,21,,8
5/24/16,0:00:00,7.3,21,,8
5/25/16,0:00:00,12,21,,8
5/26/16,0:00:00,7.6,21,,8
5/27/16,0:00:00,1.7,21,,8
5/28/16,0:00:00,2.9,21,,8
5/29/16,0:00:00,3.2,21,,8
5/30/16,0:00:00,1.1,21,,8
5/31/16,0:00:00,0.5,21,,8
6/1/16,0:00:00,0.7,21,,8
6/2/16,0:00:00,0.4,21,,8
6/3/16,0:00:00,0.4,21,,8
6/4/16,0:00:00,2,21,,8
6/5/16,0:00:00,1.9,21,,8
6/6/16,0:00:00,1.1,21,,8
6/7/16,0:00:00,0.4,21,,8
6/8/16,0:00:00,0.2,21,,8
6/9/16,0:00:00,0.1,21,,8
6/10/16,0:00:00,0.3,21,,8
6/11/16,0:00:00,0.4,21,,8
6/12/16,0:00:00,0.1,21,,8
6/13/16,0:00:00,0.4,21,,8
6/14/16,0:00:00,0.3,21,,8
6/15/16,0:00:00,6.9,21,,8
6/16/16,0:00:00,3.5,31,,8
6/17/16,0:00:00,0.8,31,,8
6/18/16,0:00:00,0.3,31,,8
6/19/16,0:00:00,0.2,31,,8
6/20/16,0:00:00,0.1,31,,8
6/21/16,0:00:00,0.1,31,,8
6/22/16,0:00:00,0,31,,8
6/23/16,0:00:00,0.1,31,,8
6/24/16,0:00:00,0,31,,8
6/25/16,0:00:00,0.1,31,,8
6/26/16,0:00:00,0.1,31,,8
6/27/16,0:00:00,0,31,,8
6/28/16,0:00:00,0,31,,8
6/29/16,0:00:00,0,31,,8
6/30/16,0:00:00,0.1,31,,8
7/1/16,0:00:00,0,31,,8
7/2/16,0:00:00,0,31,,8
7/3/16,0:00:00,0,31,,8
7/4/16,0:00:00,0,31,,8
7/5/16,0:00:00,0,31,,8
7/6/16,0:00:00,0,31,,8
7/7/16,0:00:00,0,31,,8
7/8/16,0:00:00,0,31,,8
7/9/16,0:00:00,0,31,,8
7/10/16,0:00:00,0,31,,8
7/11/16,0:00:00,62.9,31,,8
7/12/16,0:00:00,33.8,31,,8
7/13/16,0:00:00,1.1,31,,8
7/14/16,0:00:00,0.7,31,,8
7/15/16,0:00:00,0.3,31,,8
7/16/16,0:00:00,0.1,31,,8
7/17/16,0:00:00,0.1,31,,8
7/18/16,0:00:00,0,31,,8
7/19/16,0:00:00,0,31,,8
7/20/16,0:00:00,0,31,,8
7/21/16,0:00:00,0.1,31,,8
7/22/16,0:00:00,0,31,,8
7/23/16,0:00:00,0,31,,8
7/24/16,0:00:00,0,31,,8
7/25/16,0:00:00,0,31,,8
7/26/16,0:00:00,0,31,,8
7/27/16,0:00:00,0,31,,8
7/28/16,0:00:00,0,31,,8
7/29/16,0:00:00,0,31,,8
7/30/16,0:00:00,0,31,,8
7/31/16,0:00:00,0,31,,8
8/1/16,0:00:00,0,31,,8
8/2/16,0:00:00,0.1,31,,8
8/3/16,0:00:00,0,31,,8
8/4/16,0:00:00,0,31,,8
8/5/16,0:00:00,0,31,,8
8/6/16,0:00:00,0,31,,8
8/7/16,0:00:00,0,31,,8
8/8/16,0:00:00,0,31,,8
8/9/16,0:00:00,0,31,,8
8/10/16,0:00:00,0,31,,8
8/11/16,0:00:00,0,31,,8
8/12/16,0:00:00,0,31,,8
8/13/16,0:00:00,0,31,,8
8/14/16,0:00:00,0,31,,8
8/15/16,0:00:00,0,31,,8
8/16/16,0:00:00,0,31,,8
8/17/16,0:00:00,0,31,,8
8/18/16,0:00:00,0,31,,8
8/19/16,0:00:00,0,31,,8
8/20/16,0:00:00,0.1,31,,8
8/21/16,0:00:00,0.1,31,,8
8/22/16,0:00:00,0,31,,8
8/23/16,0:00:00,0,21,,8
8/24/16,0:00:00,0,21,,8
8/25/16,0:00:00,0,21,,8
8/26/16,0:00:00,0,21,,8
8/27/16,0:00:00,0,21,,8
8/28/16,0:00:00,0,21,,8
8/29/16,0:00:00,0,21,,8
8/30/16,0:00:00,0,21,,8
8/31/16,0:00:00,0,21,,8
9/1/16,0:00:00,0,21,,8
9/2/16,0:00:00,0,21,,8
9/3/16,0:00:00,0,21,,8
9/4/16,0:00:00,0,21,,8
9/5/16,0:00:00,0.1,21,,8
9/6/16,0:00:00,1.7,21,,8
9/7/16,0:00:00,0.2,21,,8
9/8/16,0:00:00,0.1,21,,8
9/9/16,0:00:00,0,21,,8
9/10/16,0:00:00,0,21,,8
9/11/16,0:00:00,0,21,,8
9/12/16,0:00:00,0,21,,8
9/13/16,0:00:00,0,21,,8
9/14/16,0:00:00,0,21,,8
9/15/16,0:00:00,0,21,,8
9/16/16,0:00:00,0,21,,8
9/17/16,0:00:00,0,21,,8
9/18/16,0:00:00,0,21,,8
9/19/16,0:00:00,0,21,,8
9/20/16,0:00:00,0,21,,8
9/21/16,0:00:00,0,21,,8
9/22/16,0:00:00,0,21,,8
9/23/16,0:00:00,0,21,,8
9/24/16,0:00:00,0,21,,8
9/25/16,0:00:00,0,21,,8
9/26/16,0:00:00,0,21,,8
9/27/16,0:00:00,0.1,21,,8
9/28/16,0:00:00,0,21,,8
9/29/16,0:00:00,0,21,,8
9/30/16,0:00:00,0,21,,8
10/1/16,0:00:00,0,21,,8
10/2/16,0:00:00,0,21,,8
10/3/16,0:00:00,0,21,,8
10/4/16,0:00:00,0,21,,8
10/5/16,0:00:00,0,21,,8
10/6/16,0:00:00,0,21,,8
10/7/16,0:00:00,0.8,21,,8
10/8/16,0:00:00,0.1,21,,8
10/9/16,0:00:00,0,21,,8
10/10/16,0:00:00,0,21,,8
10/11/16,0:00:00,0,21,,8
10/12/16,0:00:00,0,21,,8
10/13/16,0:00:00,0,21,,8
10/14/16,0:00:00,0,21,,8
10/15/16,0:00:00,0,21,,8
10/16/16,0:00:00,0,21,,8
10/17/16,0:00:00,0.1,21,,8
10/18/16,0:00:00,0,21,,8
10/19/16,0:00:00,0,21,,8
10/20/16,0:00:00,0,21,,8
10/21/16,0:00:00,0,21,,8
10/22/16,0:00:00,0,21,,8
10/23/16,0:00:00,0,21,,8
10/24/16,0:00:00,0,21,,8
10/25/16,0:00:00,0,21,,8
10/26/16,0:00:00,0,21,,8
10/27/16,0:00:00,0,21,,8
10/28/16,0:00:00,0,21,,8
10/29/16,0:00:00,0,21,,8
10/30/16,0:00:00,0,21,,8
10/31/16,0:00:00,0,21,,8
11/1/16,0:00:00,0,21,,8
11/2/16,0:00:00,0,21,,8
11/3/16,0:00:00,0,21,,8
11/4/16,0:00:00,0,21,,8
11/5/16,0:00:00,0,21,,8
11/6/16,0:00:00,0,21,,8
11/7/16,0:00:00,0,21,,8
11/8/16,0:00:00,0,21,,8
11/9/16,0:00:00,0,21,,8
11/10/16,0:00:00,0,21,,8
11/11/16,0:00:00,0,21,,8
11/12/16,0:00:00,0,21,,8
11/13/16,0:00:00,0,21,,8
11/14/16,0:00:00,0,21,,8
11/15/16,0:00:00,0,21,,8