Date,Lat,Lon,Location,Region,Spatial extent,Surface water conditions,Weather conditions,Air temp,Water temp,Sample collection method,Verification status,Dominant cyanobacterial species,Additional cyanobacterial species present,Additional abundant phytoplankton species present,cells/mL,NU/mL,Relative Abundance (%),Cyanotoxin presence,Microcystin,Anatoxin -a,Saxitoxin,Cylindrospermopsin,"Other Toxins/Metabolites  (enter toxin/metabolite, value, and units)",Additional comments on taxonomy/toxins
2012-07-14,46.883583,-91.04902,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Apostle Islands; Cornucopia, WI",> Football field,Calm,Clear,,,Surface grab,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,Dolichospermum sp,,,,,,Yes,,,,,,"Microcystin <10 ug/L in all samples, Dolichospermum lemmermannii"
2016-08-31,46.903478,-91.032777,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,> Football field,Calm,Partly cloudy,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,Mixed diatoms,,,,Unknown/Not tested,,,,,,Dolichospermum lemmermannii
2017-07-11,46.8763623,-91.1884869,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",Car,,Partly cloudy,,,Net tow,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,Mixed diatoms,,,,Unknown/Not tested,,,,,,Dolichospermum lemmermannii
2017-08-09,46.903478,-91.032777,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,Tennis court-football field,,,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,No,,,,,,Dolichospermum lemmermannii
2018-08-09,46.883779,-91.049028,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Apostle Islands; Cornucopia, WI",> Football field,Calm,Clear,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,"Anabaenopeptin-a, 0.068 ug/L",Dolichospermum lemmermannii
2018-08-09,46.859937,-91.099254,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",> Football field,Calm,Clear,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,No,,,,,"Anabaenopeptin-a detected, 0.357 ug/L",Dolichospermum lemmermannii
2018-08-09,46.844061,-91.172835,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",> Football field,Calm,Clear,,,Surface grab,Suspected based on field observations but unconfirmed via field photos or lab analysis,,,,,,,Unknown/Not tested,,,,,,
2018-08-10,46.8858,-91.0525,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Apostle Islands, Cornucopia, WI",> Football field,Calm,Clear,,18,Surface grab,"Suspected based on field photos or expert field observation, but not otherwise verified",,,,,,,No,,,,,,
2018-08-12,46.860238,-91.136047,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",> Football field,,,,,No sample collected,"Suspected based on field photos or expert field observation, but not otherwise verified",,,,,,,Unknown/Not tested,,,,,,
2018-08-12,46.749741,-90.803304,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,Tennis court-football field,Calm,Clear,,,Net tow,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,,
2018-08-12,46.705428,-90.750884,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,Tennis court-football field,Calm,Clear,,23,Net tow,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,,
2018-08-12,46.905841,-91.031368,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Apostle Islands; Cornucopia, WI",> Football field,Calm,Clear,,,No sample collected,Suspected based on field observations but unconfirmed via field photos or lab analysis,,,,,,,Unknown/Not tested,,,,,,
2018-08-12,46.946988,-90.889803,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,Tennis court,Calm,Clear,,,No sample collected,Suspected based on field observations but unconfirmed via field photos or lab analysis,,,,,,,Unknown/Not tested,,,,,,
2018-08-13,46.876449,-91.188535,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",Car,Calm,Clear,,21,Net tow,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,,
2018-08-13,46.905952,-91.029707,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,> Football field,Calm,Clear,,,No sample collected,"Suspected based on field photos or expert field observation, but not otherwise verified",,,,,,,Unknown/Not tested,,,,,,
2018-08-19,46.754905,-92.072995,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports,Car,Calm,Clear,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,,
2018-08-31,46.720827,-92.060953,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports,Car,Calm,Clear,,21,No sample collected,"Suspected based on field photos or expert field observation, but not otherwise verified",,,,,,,Unknown/Not tested,,,,,,
2019-07-06,46.90348,-91.0328,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,> Football field,Calm,Clear,,,No sample collected,"Suspected based on field photos or expert field observation, but not otherwise verified",,,,,,,Unknown/Not tested,,,,,,
2019-09-14,46.7921855,-91.3813437,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Port Wing, WI",Car,,Partly cloudy,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp.,,,,,,Unknown/Not tested,,,,,,
2019-09-20,48.54767,-88.860904,Lake Superior open waters; Lake Superior shoreline/nearshore environment,,> Football field,Calm,Clear,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp.,,,,,,No,,,,,,
2020-07-13,46.857828,-91.101371,Lake Superior riverine and/or estuarine environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",Tennis court,Calm,Partly cloudy,,,No sample collected,Suspected based on field observations but unconfirmed via field photos or lab analysis,,,,,,,Unknown/Not tested,,,,,,
2020-08-24,46.844685,-91.17184,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",Car,,,,,No sample collected,Suspected based on field observations but unconfirmed via field photos or lab analysis,,,,,,,Unknown/Not tested,,,,,,
2020-09-05,46.8217213,-91.3296444,Lake Superior shoreline/nearshore environment,,Tennis court-football field,Calm,Partly cloudy,,24,Net tow,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,,Dolichospermum lemmermannii
2020-09-23,46.859616,-91.099864,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",Car,Calm,Overcast,,,Net tow,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,,Dolichospermum lemmermannii
2020-10-03,46.798344,-91.130298,Inland water body in Lake Superior Basin,,Car,Calm,Overcast,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,,Dolichospermum lemmermannii
2021-07-09,48.47565,-88.61244,Lake Superior shoreline/nearshore environment,Lake Superior North Shore,> Football field,,,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,No,,,,,,"High cell abundance, indicitive of a bloom"
2021-07-17,46.7522521,-92.071357,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports,> Football field,Ripples,Clear,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,No,,,,,,
2021-07-18,46.903478,-91.032777,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,> Football field,Calm,Clear,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,,Dolichospermum lemmermannnii
2021-07-18,46.91173,-91.8527,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports,Car,,,,,No sample collected,Suspected based on field observations but unconfirmed via field photos or lab analysis,,,,,,,Unknown/Not tested,,,,,,
2021-07-18,46.82048,-92.0385,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports,Car,,,,,No sample collected,Suspected based on field observations but unconfirmed via field photos or lab analysis,,,,,,,Unknown/Not tested,,,,,,
2021-09-10,46.720827,-92.060953,Lake Superior riverine and/or estuarine environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports,> Football field,Calm,Clear,,22,Unknown,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,Dolichospermum sp,"Microcystis sp, Aphanizomenon sp",,69594,,,Yes,8.7,,,0.022,,"Dolichospermum lemmermannii (57126 cells/mL), Microcystis aeruginosa (8772 cells/mL), Aphanizomenon flosaque (3696 cells/mL)"
2021-10-01,46.705717,-92.02724,Lake Superior riverine and/or estuarine environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports,Car,Calm,Partly cloudy,,,Unknown,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,Pseudanabaena sp. ,"Planktothrix sp., Merismopedia sp., Aphanizomenon sp. ",,2316,,,Yes,0.49,,,,,"Pseudanabaena sp. (1734 cells/mL), Planktothrix sp. (458 cells/mL), Merismopedia sp. (87 cells.mL), Aphanizomenon flos-aquae (37 cells/mL)"
2022-07-22,46.857828,-91.101371,Lake Superior riverine and/or estuarine environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",Tennis court,Calm,Clear,,,No sample collected,Suspected based on field observations but unconfirmed via field photos or lab analysis,,,,,,,Unknown/Not tested,,,,,,
2022-08-15,46.29772,-90.398,Inland water body in Lake Superior Basin,,Car,Calm,,,,Surface grab,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,Dolichospermum sp.,"Woronichinia sp, Microcystis sp.",,1875096,,,Yes,3.4,0.2,,,,"O'Brien Lake, WI, in Bad River Watershed. Dolichospermum sp. 1 (likely smithii, 401032 cells/mL), Dolichospermum sp. 2 (likely crassum, 657135 cells/mL), Woronichinia naegeliana (517161 cells/mL), Microcystis areuginosa (299768 cells/mL)"
2022-08-22,46.7486,-91.618065,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Brule, WI",Tennis court-football field,Ripples,Clear,,17,Surface grab,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,Aphanothece sp.,,,1523,,,Unknown/Not tested,,,,,,
2022-09-20,46.6978,-91.994044,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports,Tennis court-football field,Calm,Clear,,,Surface grab,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,Dolichospermum sp.,"Microcystis sp., Aphanizomenon sp.",,32091,,,Yes,4.1,,,,,"Dolichospermum lemmermannii (21096 cells/mL), Microcystis aeruginosa (9438 cells/mL), Aphanizomenon flos-aquae (1557 cells/mL)"
2023-06-20,46.798344,-91.130298,Inland water body in Lake Superior Basin,"Cornucopia, WI",Tennis court,Ripples,Clear,,32,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,,
2023-07-25,48.554936,-88.853682,Lake Superior shoreline/nearshore environment,Lake Superior North Shore,Car,Choppy,Clear,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp.,,,,,,No,,,,,,
2023-08-03,46.860023,-91.098826,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",Car,Calm,Clear,,22,No sample collected,"Suspected based on field photos or expert field observation, but not otherwise verified",,,,,,,Unknown/Not tested,,,,,,
2023-08-07,46.8858,-91.0525,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",> Football field,Calm,Clear,,18,Surface grab,"Suspected based on field photos or expert field observation, but not otherwise verified",,,,,,,Unknown/Not tested,,,,,,
2023-09-03,46.791443,-91.398055,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Port Wing, WI",> Football field,Ripples,Clear,93,,Surface grab,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,Dolichospermum sp.,,Botryococcus,3761,46,,No,,,,,,Dolichospermum lemmermannii (3761 cells/mL - 46 NU/mL) and Botryococcus (35 NU/mL)
2023-09-03,48.55277778,-88.84916667,Lake Superior open waters,Lake Superior North Shore,> Football field,Calm,Partly cloudy,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp.,botryococcus,Botryococcus was more abundant than the Dolichospermum,,,,No,,,,,,
2023-09-11,46.721769,-92.063594,Lake Superior riverine and/or estuarine environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports,Tennis court-football field,Calm,Clear,17.77,21,Integrated,Verified via basic microscopic verification of cyanobacterial dominance,Aphanizomenon sp.,Dolichospermum sp.,Full soft algae enumeration on preserved sample forthcoming.,,,,Unknown/Not tested,,,,,,
2023-09-20,46.713056,-92.046667,Lake Superior riverine and/or estuarine environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports; St. Louis River Estuary,> Football field,Calm,Clear,,,Surface grab,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,Aphanizomenon sp.,Dolichospermum sp.,,426513,,,Yes,1.9,,0.026,,,
2023-09-21,46.79496,-91.407511,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,> Football field,Calm,,,,Unknown,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp.,,Botryococcus,,,,Unknown/Not tested,,,,,,
2023-09-21,46.7207636,-92.0610576,Lake Superior riverine and/or estuarine environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports; St. Louis River Estuary,Tennis court,Calm,Overcast,,,Unknown,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,Aphanizomeno sp.,Dolichospermum sp.,,436513,37350,,Yes,1.9,,0.026,,,Aphanizomenon flos-aquae (435661 cells/mL  - 37228 NU/mL) and Dolichospermum lemmermannii (852 cells/mL - 122 NU/mL)
2023-09-21,48.557901,-88.849467,Lake Superior shoreline/nearshore environment,Lake Superior North Shore,Car,Choppy,Clear,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp.,,,,,,No,,,,,,
2023-09-28,46.7207636,-92.0610576,Lake Superior riverine and/or estuarine environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports; St. Louis River Estuary,Tennis court,Calm,Clear,,,Unknown,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,,,,,,,Unknown/Not tested,,,,,,
2023-10-02,46.720827,-92.060953,Lake Superior riverine and/or estuarine environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports; St. Louis River Estuary,> Football field,Ripples,Clear,69,17.5,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Aphanizomenon sp.,,,,,,Unknown/Not tested,,,,,,
2023-10-03,46.703275,-92.027791,Lake Superior riverine and/or estuarine environment,Lake Superior South Shore Western Arm; Duluth-Superior Twin Ports; St. Louis River Estuary,> Football field,Calm,Clear,,17.6,Unknown,Verified via basic microscopic verification of cyanobacterial dominance,Aphanizomenon sp.,,,,,,Yes,0.21,,,,,"Collected samples for cyanotoxin analysis with the bloom samples we collected that day at the Nemadji mouth, at the Park Point Lake Superior nearshore, and at Barker's Island; toxins were detected in only the Barker's Island sample, microcystin at 0.21 ug/L"
