name,site,latitude,longitude
Allouez Bay,AL,46.69093,-91.98675
Billings Park,BI,46.7141,-92.14403
Kingsbury Bay,KI,46.71987,-92.18285
Miller Creek,MI,46.76115,-92.11773
Mud Lake (old location),MU,46.66467,-92.211
Mud Lake (new location),MU2,46.66421,-92.20869
North Bay,NO,46.65338,-92.23935
Barker's Island,BA,46.72178,-92.06348
Pokegama Bay,PO,46.67218,-92.1355
Oliver Bridge,OL,46.65675,-92.20163
Blatnik Bridge,BL,46.74867,-92.10049
Barker's Island Turtle Bay,BATU,46.72161,-92.06194
Barker's Island Swim Beach,BASB,46.72062,-92.06074
Barker's Island Northwest,BANW,46.72258,-92.06478
Nemadji River Mouth,NE,46.70343,-92.02787
Lake Superior Park Point ,PA,46.71201,-92.02543
Pokegama River Mouth,POM,46.70158,-92.17441
Superior Bay,SU,"46.745250,",-92.073505
Bong Bridge,BO,46.731597,-92.144631
Spirit Island 1,SP1,46.689104,-92.188946
Highway 23 Bridge,HWY23,46.657199,-92.281748